Date,DRI_pellet,Pellet_size,Fe,S,C,Metallization,Slag,Waste_powder,Porosity
01/01/2015 09:00,0.908068171,20.59081562,0.715595121,0.003299128,0.002214294,0.94469529,0.110102769,6.340011422,0.156433516
01/01/2015 09:30,0.908225861,23.35133633,0.713426322,0.003492852,0.00166713,0.936690671,0.110082161,7.508332455,0.128417348
01/01/2015 10:00,0.959369958,23.08791516,0.713425116,0.003108356,0.003197912,0.923931929,0.110205593,7.357918872,0.083761751
01/01/2015 10:30,0.907106661,24.57401089,0.712170906,0.004607068,0.004768287,0.928756338,0.110288247,8.032413872,0.100647184
01/01/2015 11:00,0.912920669,15.28090388,0.72060135,0.002067638,0.004061341,0.925396546,0.110322661,4.013750417,0.08888791
01/01/2015 11:30,0.938527274,20.51239059,0.71457387,0.003017778,0.003350649,0.933333333,0.110330057,6.310042465,0.116666667
01/01/2015 12:00,0.940550071,11.97905201,0.724785934,0.004962188,0.003342723,0.913333333,0.110104686,2.595325035,0.046666667
01/01/2015 12:30,0.909251924,17.20718568,0.716139216,0.001842855,0.002656034,0.94379112,0.109796139,4.973793624,0.153268919
01/01/2015 13:00,0.904900842,21.66814896,0.712627219,0.001691388,0.003497301,0.925116715,0.10930241,6.825767594,0.087908503
01/01/2015 13:30,0.939091111,23.76045256,0.711486263,0.003608424,0.002885037,0.927898033,0.108773022,7.732708893,0.097643114
01/01/2015 14:00,0.915557602,14.45364921,0.719301306,0.003070687,0.001373483,0.928029964,0.108146417,3.738467845,0.098104875
01/01/2015 14:30,0.930255431,11.3457814,0.724962702,0.002548747,0.002092569,0.926197586,0.10760161,2.396068931,0.091691551
01/01/2015 15:00,0.937652013,14.33332838,0.720139,0.002484262,0.002553785,0.9254553,0.107007996,3.659323195,0.08909355
01/01/2015 15:30,0.901279812,18.11025762,0.715629299,0.003461323,0.002414401,0.934879906,0.106477286,5.318580224,0.12207967
01/01/2015 16:00,0.939024628,13.35599919,0.720398421,0.003509641,0.003242726,0.9291238,0.106003644,3.285673799,0.101933299
01/01/2015 16:30,0.918577968,9.521897494,0.729899421,0.003831141,0.001,0.935841952,0.10560392,1.649041937,0.125446831
