Date,Ore_size,Fe2O3,Al2O3,S,CaO,C,Abrasion,K2Cr2O7,MgO,SiO2,Porosity
01/01/2015 00:00,15,0.562034377,0.023863834,0.033881194,0.009461938,0.003621357,0.229360606,0.00373779,0.002968159,0.11992944,0.113924677
01/01/2015 00:30,22,0.726148192,0.028628966,0.03623974,0.015310812,0.002166672,0.376524993,0.002941223,0.004213759,0.134965299,0.166546668
01/01/2015 01:00,15,0.647662377,0.019390077,0.028752621,0.002940508,0.001408954,0.061534493,0.002990816,0.0044591,0.098893198,0.147149785
01/01/2015 01:30,18,0.650361598,0.041739334,0.02923907,0.02,0.002552863,0.442245887,0.002,0.003771907,0.073917217,0.152390568
01/01/2015 02:00,25,0.649763278,0.05,0.036139771,0.019258237,0.002263928,0.36773826,0.002645747,0.00462145,0.1249715,0.167816735
01/01/2015 02:30,23,0.68264422,0.015511783,0.035722638,0.00425297,0.003934755,0.406545214,0.002864304,0.002181187,0.122318184,0.153230063
01/01/2015 03:00,17,0.75,0.022465973,0.019799337,0.001,0.005,0.250474308,0.004529951,0.00387316,0.094052196,0.249073823
01/01/2015 03:30,22,0.677850862,0.049013904,0.008,0.002022097,0.003190128,0.009038011,0.002924709,0.003033198,0.082953612,0.192861433
01/01/2015 04:00,26,0.655747178,0.026590445,0.023172551,0.010787133,0.003550711,0.296200943,0.004502773,0.004561559,0.071808399,0.161809978
01/01/2015 04:30,20,0.632993095,0.022572616,0.037121426,0.001,0.002497648,0.03545089,0.00332838,0.003510301,0.107145801,0.140676206
01/01/2015 05:00,27,0.694911789,0.05,0.023684778,0.008968773,0.002636928,0.373318452,0.003324074,0.002786479,0.12012212,0.191373651
01/01/2015 05:30,13,0.616055151,0.043729052,0.025209789,0.006210006,0.003848467,0.186668064,0.003293439,0.003846215,0.099992074,0.140241817
01/01/2015 06:00,12,0.674837869,0.05,0.045486406,0.001,0.001451749,0.24445161,0.002906072,0.003561612,0.087582779,0.089978383
01/01/2015 06:30,15,0.664450412,0.029793276,0.033670037,0.011790143,0.001,0.209070933,0.003618023,0.004724223,0.087841846,0.221483471
01/01/2015 07:00,19,0.627833683,0.05,0.008,0.001,0.001535058,0.277799743,0.002692645,0.002950165,0.093650818,0.134347937
01/01/2015 07:30,25,0.728528894,0.036384486,0.023430502,0.012186554,0.003684832,0.238844646,0.003259347,0.004127314,0.056811897,0.177098509
01/01/2015 08:00,27,0.741052909,0.045341113,0.035867208,0.001,0.002630604,0.161496918,0.004534581,0.004368626,0.15,0.247017636
01/01/2015 08:30,26,0.586853709,0.021856848,0.032882517,0.009543371,0.002302476,0.213048477,0.003610919,0.002521446,0.138590737,0.182785986
01/01/2015 09:00,34,0.585427577,0.017101847,0.010983862,0.005077505,0.00215293,0.148619936,0.005,0.004521964,0.13888131,0.132804437
01/01/2015 09:30,35,0.546921178,0.017040625,0.03371295,0.008595242,0.002658257,0.339716967,0.003627467,0.002022165,0.111931094,0.111864164
01/01/2015 10:00,35,0.706971374,0.027426558,0.032554821,0.015205492,0.003340236,0.372227994,0.003035599,0.00319563,0.112894594,0.147810108
01/01/2015 10:30,31,0.707117787,0.01402782,0.044111,0.015718421,0.002483928,0.272860128,0.004492969,0.0041153,0.061368916,0.148677249
